Indicator ID,Total,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,6135,4,186,242,283,313,417,428,97,59,16
StockIssuedDuringPeriodSharesNewIssues,6123,4,185,294,302,267,244,255,239,206,45
CapitalLeasesBalanceSheetAssetsByMajorClassNet,6123,6,131,283,286,295,276,264,247,241,12
OperatingLeasesRentExpenseMinimumRentals,6102,11,134,300,286,287,267,263,244,222,20
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,6090,7,137,349,312,288,269,240,192,178,58
OperatingLeasesFutureMinimumPaymentsDueFutureMinimumSubleaseRentals,6075,13,146,265,264,280,275,280,262,223,17
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,6057,11,219,224,251,273,265,277,253,218,28
LineOfCreditFacilityAmountOutstanding,6051,17,368,773,741,117,1,0,0,0,0
GoodwillAndIntangibleAssetImpairment,6048,3,132,228,253,279,293,266,270,249,43
PensionAndOtherPostretirementBenefitExpense,6039,9,200,272,265,270,260,259,232,218,28
PaymentsToAcquireBusinessesGross,6018,6,126,149,250,308,327,288,285,225,42
SecuritiesSoldUnderAgreementsToRepurchase,6003,1,237,284,271,261,244,233,225,196,49
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,5997,0,1,285,319,313,290,275,258,225,33
InterestAndOtherIncome,5991,4,269,280,300,274,234,215,204,183,34
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,5991,7,144,261,281,281,269,252,248,228,26
OtherNonoperatingExpense,5985,4,287,284,266,274,234,208,213,183,42
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,5967,11,217,333,343,316,233,203,168,145,20
MarketableSecuritiesCurrent,5952,22,271,263,240,240,229,216,208,239,56
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,5949,23,252,379,362,339,313,283,32,0,0
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,5943,10,271,291,278,252,240,222,192,185,40
DeferredIncomeTaxLiabilitiesNet,5922,0,0,0,1,4,130,296,596,734,213
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,5898,0,0,9,226,308,343,357,352,307,64
LiabilitiesFairValueDisclosure,5871,2,145,301,289,267,259,226,214,220,34
AccrualForEnvironmentalLossContingencies,5868,6,160,230,276,273,258,259,245,225,24
TimeDepositMaturitiesAfterYearFive,5850,0,54,268,277,281,269,255,239,230,77
TreasuryStockAcquiredAverageCostPerShare,5847,7,155,254,265,264,288,261,211,211,33
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax,5832,0,7,249,297,290,283,278,268,240,32
ForeignIncomeTaxExpenseBenefitContinuingOperations,5829,4,162,266,273,271,243,246,234,212,32
ImpairmentOfIntangibleAssetsExcludingGoodwill,5814,2,146,201,227,270,276,272,259,237,48
StockIssuedDuringPeriodValueRestrictedStockAwardGross,5811,5,169,220,222,253,269,255,241,235,68
RealEstateInvestmentPropertyAtCost,5811,2,159,215,230,256,265,267,263,243,37
DebtInstrumentFairValue,5808,20,196,277,275,276,237,239,201,183,32
AvailableForSaleSecuritiesCurrent,5793,13,241,259,248,267,279,258,244,106,16
ProceedsFromSaleMaturityAndCollectionsOfInvestments,5793,17,282,265,238,230,228,219,212,207,33
InterestIncomeOperating,5793,6,248,262,248,241,228,231,225,199,43
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,5787,4,101,268,290,299,282,240,212,190,43
OtherPrepaidExpenseCurrent,5784,7,121,249,251,279,257,242,234,235,53
FinancingReceivableModificationsRecordedInvestment,5784,1,40,284,267,278,255,258,229,228,88
DeferredTaxAssetsGrossNoncurrent,5775,3,103,337,344,353,274,210,157,134,10
ProceedsFromSaleOfLoansHeldForSale,5769,0,260,255,243,237,236,226,202,199,65
DebtConversionConvertedInstrumentAmount1,5766,2,155,231,287,283,273,237,230,203,21
RestructuringReserveCurrent,5733,11,174,263,251,251,253,244,227,208,29
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesTax,5730,0,6,286,298,301,289,251,225,212,42
Capital,5724,1,53,279,267,267,262,238,240,224,77
GainLossOnSaleOfInvestments,5712,8,264,251,228,237,242,226,205,201,42
UnrecognizedTaxBenefitsPeriodIncreaseDecrease,5712,11,148,263,254,263,243,252,228,207,35
RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,5694,0,87,222,243,270,266,268,267,240,35
RealEstateAndAccumulatedDepreciationInitialCostOfLand,5685,0,89,224,243,260,263,270,267,242,37
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,5682,19,203,350,303,266,227,189,162,148,27
DefinedBenefitPlanAmortizationOfGainsLosses,5679,4,122,263,283,267,242,228,235,217,32
DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,5673,1,35,149,313,249,216,279,280,300,69
CapitalRequiredForCapitalAdequacyToRiskWeightedAssets,5667,1,52,267,262,261,268,245,236,223,74
EffectiveIncomeTaxRateReconciliationTaxContingencies,5655,10,122,239,246,255,266,258,238,213,38
ProceedsFromWarrantExercises,5652,1,170,199,227,254,234,237,236,257,69
PaymentsToAcquireShortTermInvestments,5649,18,236,245,252,244,210,215,201,209,53
AccruedLiabilitiesCurrentAndNoncurrent,5643,4,202,293,259,249,230,210,207,183,44
FinancingReceivableAllowanceForCreditLossesRecovery,5628,0,12,316,300,280,259,231,213,195,70
CapitalToRiskWeightedAssets,5622,1,50,276,266,263,255,237,236,216,74
ImpairmentOfRealEstate,5619,3,220,238,231,248,242,241,222,192,36
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,5610,0,0,0,6,315,435,465,442,182,25
TierOneRiskBasedCapitalToRiskWeightedAssets,5607,1,53,272,263,259,255,238,236,218,74
DeferredTaxAssetsDerivativeInstruments,5598,4,123,257,270,264,246,246,231,183,42
OtherDepreciationAndAmortization,5589,6,199,287,268,247,239,209,193,179,36
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,5577,0,11,250,286,294,278,258,252,220,10
TierOneRiskBasedCapitalRequiredForCapitalAdequacyToRiskWeightedAssets,5562,0,46,257,248,255,270,247,238,221,72
OtherInterestAndDividendIncome,5562,1,284,256,232,220,211,210,195,187,58
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax,5538,0,0,7,323,354,346,306,288,207,15
ShortTermDebtWeightedAverageInterestRate,5526,9,159,280,272,248,230,219,206,193,26
ContractualObligationDueInNextTwelveMonths,5517,0,8,240,250,268,263,260,257,242,51
CashUninsuredAmount,5508,0,17,223,254,268,255,252,246,258,63
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,5493,5,241,226,234,244,232,203,202,197,47
PaymentsToAcquireOtherInvestments,5481,11,221,232,241,241,234,222,197,192,36
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,5472,4,218,208,219,267,206,216,229,222,35
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,5469,3,136,298,313,273,219,200,184,167,30
ForeignCurrencyTransactionGainLossRealized,5460,8,139,231,249,256,256,231,221,197,32
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,5448,4,133,247,245,235,244,233,238,217,20
TierOneRiskBasedCapital,5442,1,50,265,263,256,249,229,223,207,71
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,5439,9,208,221,217,230,244,242,220,197,25
ProceedsFromShortTermDebt,5433,10,232,249,238,224,228,210,201,191,28
DeferredCompensationLiabilityClassifiedNoncurrent,5430,17,183,240,244,230,235,216,220,193,32
WeightedAverageNumberOfSharesIssuedBasic,5403,10,133,273,261,254,243,221,198,175,33
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,5385,5,113,309,274,256,239,206,173,167,53
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,5382,1,212,223,261,250,219,206,209,180,33
EquipmentExpense,5379,0,270,252,233,231,206,198,183,166,54
TierOneLeverageCapitalRequiredForCapitalAdequacyToAverageAssets,5376,1,47,250,247,247,254,233,227,214,72
DebtInstrumentInterestRateStatedPercentage,5364,13,135,388,301,273,199,157,149,146,27
PaymentsToAcquireAvailableForSaleSecuritiesDebt,5361,6,171,174,168,176,175,176,177,427,137
IncomeTaxReceivable,5352,4,177,253,231,239,213,210,223,194,40
DepreciationNonproduction,5340,6,272,262,234,219,204,194,181,164,44
TierOneLeverageCapitalToAverageAssets,5337,1,50,252,251,254,248,225,223,205,70
OtherNoncashExpense,5331,14,305,310,274,243,193,153,145,116,24
InventoryRawMaterialsAndSupplies,5319,7,152,228,231,234,226,221,216,210,48
AccruedEmployeeBenefitsCurrent,5313,5,99,225,236,247,232,220,223,223,61
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,5301,0,10,254,250,245,258,246,245,206,53
RepaymentsOfShortTermDebt,5292,12,250,239,215,208,214,202,197,194,33
StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,5280,12,165,258,239,246,235,208,186,175,36
PurchaseObligation,5253,0,6,161,203,246,278,267,275,264,51
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,5247,0,0,0,6,308,365,351,354,325,40
EquityMethodInvestmentOwnershipPercentage,5244,6,141,331,301,267,191,174,168,141,28
DeferredIncomeTaxAssetsNet,5238,0,0,1,3,4,123,282,506,617,210
IncreaseDecreaseInDueToRelatedParties,5229,4,196,211,225,242,228,215,203,182,37
InterestExpenseRelatedParty,5226,0,143,237,258,238,239,217,209,186,15
IncomeTaxReconciliationDeductionsQualifiedProductionActivities,5214,5,117,219,236,247,259,268,231,145,11
DeferredTaxAssetsTaxDeferredExpenseOther,5208,3,89,237,241,239,236,227,214,201,49
InterestAndDebtExpense,5199,15,211,221,232,231,217,211,200,173,22
InterestExpenseBorrowings,5187,2,227,238,224,225,206,194,176,185,52
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,5184,6,115,294,260,243,224,200,170,163,53
DeferredTaxLiabilitiesInvestments,5178,0,6,200,199,241,255,237,261,260,67
RealEstateAndAccumulatedDepreciationCarryingAmountOfLand,5160,0,82,208,218,228,238,249,246,217,34
RealEstateAndAccumulatedDepreciationCarryingAmountOfBuildingsAndImprovements,5154,0,84,203,218,232,238,246,245,217,35
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,5145,129,1483,96,4,3,0,0,0,0,0
GainLossOnSaleOfOtherAssets,5142,7,229,232,273,252,204,189,163,132,33
PropertyPlantAndEquipmentAdditions,5142,7,134,195,239,232,241,225,221,199,21
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,5127,1,207,178,240,247,203,181,209,196,47
ConcentrationRiskPercentage1,5127,0,14,208,343,295,244,212,189,176,28
MarketableSecurities,5121,3,187,213,239,233,222,192,180,191,47
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsGoodwill,5118,6,80,222,221,234,237,222,225,201,58
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReserves,5112,3,108,242,234,234,230,218,205,189,41
IncreaseDecreaseInRestrictedCashForOperatingActivities,5100,7,244,245,251,251,268,229,180,24,1
DebtWeightedAverageInterestRate,5088,1,112,267,255,241,213,202,189,183,33
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent,5076,3,115,247,230,221,212,220,216,197,31
LoansAndLeasesReceivableRelatedPartiesAdditions,5067,1,35,253,241,235,239,211,197,200,77
RepaymentsOfLongTermDebtAndCapitalSecurities,5064,24,252,254,231,212,194,176,171,154,20
GoodwillPurchaseAccountingAdjustments,5055,0,75,115,224,232,254,274,254,227,30
CommonStockNoParValue,5046,10,157,181,189,222,231,211,211,201,69
CommitmentsAndContingencies,5046,1,261,254,234,222,191,167,171,147,34
DerivativeAssetsCurrent,5022,0,187,227,207,213,209,206,195,203,27
RestrictedStockExpense,5010,9,180,267,217,222,213,190,175,158,39
AdvancesFromFederalHomeLoanBanks,5001,0,86,149,235,241,247,236,212,199,62
CostMethodInvestments,4989,3,133,175,232,244,248,259,234,122,13
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,4989,0,0,11,260,281,266,265,254,251,75
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossNetOfTax,4983,0,0,4,282,321,306,267,238,220,23
LoansAndLeasesReceivableDeferredIncome,4977,0,63,236,219,226,219,216,207,208,65
DeferredTaxAssetsGrossCurrent,4959,2,104,373,383,382,212,100,56,36,5
AccruedLiabilitiesAndOtherLiabilities,4956,0,9,124,173,223,258,254,257,270,84
DividendsCash,4941,17,197,214,209,214,202,206,187,168,33
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,4926,2,98,211,209,214,214,213,225,202,54
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation,4917,13,176,227,226,232,206,197,182,163,17
AvailableforsaleSecuritiesGrossUnrealizedGain,4917,12,402,1078,145,2,0,0,0,0,0
ImpairedFinancingReceivableWithNoRelatedAllowanceUnpaidPrincipalBalance,4914,0,8,211,222,226,231,231,217,211,81
TierOneLeverageCapital,4911,1,39,231,232,233,228,209,204,193,67
EquityMethodInvestmentSummarizedFinancialInformationRevenue,4908,1,122,219,225,219,217,211,211,192,19
PaymentsForCapitalImprovements,4881,0,168,180,211,226,225,215,196,187,19
DeferredRentCreditCurrent,4881,7,111,174,182,217,226,221,230,227,32
TradingSecurities,4881,1,129,169,228,246,228,233,213,150,30
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,4878,7,78,122,198,216,224,240,249,241,51
LegalFees,4875,6,155,249,241,209,190,183,181,169,42
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,4863,5,72,218,236,238,216,205,197,190,44
ImpairedFinancingReceivableWithRelatedAllowanceUnpaidPrincipalBalance,4863,0,8,216,222,229,228,227,210,206,75
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,4860,6,148,166,151,151,148,154,150,414,132
PrepaidInsurance,4857,2,70,193,200,219,217,218,215,212,73
OperatingLeasesRentExpenseSubleaseRentals1,4854,5,113,244,228,232,221,201,189,169,16
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,4842,6,123,173,265,245,230,204,185,162,21
FairValueAdjustmentOfWarrants,4839,0,1,8,137,268,278,298,281,271,71
DeferredTaxLiabilitiesGrossNoncurrent,4839,0,8,217,258,274,276,232,180,154,14
ProceedsFromSaleOfOtherRealEstate,4836,0,233,226,216,202,187,177,158,152,61
CashSurrenderValueOfLifeInsurance,4815,6,151,247,226,214,196,186,171,160,48
FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,4815,1,61,227,234,235,216,214,202,185,30
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,4803,1,233,286,283,227,190,147,115,103,16
ProceedsFromSaleOfForeclosedAssets,4794,1,242,215,211,204,193,185,157,141,49
ImpairmentOfLongLivedAssetsToBeDisposedOf,4785,6,102,168,195,236,221,218,199,197,53
PreferredStockDividendsAndOtherAdjustments,4776,0,230,234,207,206,197,184,160,146,28
AccumulatedAmortizationDeferredFinanceCosts,4770,0,104,263,264,287,247,164,128,110,23
SECScheduleIIIRealEstateAccumulatedDepreciationDepreciationExpense,4770,0,0,0,203,267,277,282,272,255,34
MinorityInterestDecreaseFromRedemptions,4752,5,168,192,185,204,212,192,216,186,24
NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,4752,1,132,174,208,216,229,220,197,165,42
InterestIncomeOther,4749,0,6,115,220,249,234,239,225,233,62
IncomeTaxReconciliationPriorYearIncomeTaxes,4725,0,74,204,213,200,186,215,209,210,64
ProceedsFromRepaymentsOfRelatedPartyDebt,4713,4,197,235,224,209,185,187,161,154,15
DebtLongtermAndShorttermCombinedAmount,4713,2,60,153,179,219,219,222,244,232,41
ContractualObligationDueInSecondYear,4707,0,7,197,212,217,225,226,233,213,39
CapitalRequiredForCapitalAdequacy,4704,1,32,233,228,229,216,195,197,178,59
DeferredTaxLiabilitiesTaxDeferredIncome,4698,6,101,220,209,225,205,191,179,194,36
DeferredTaxAssetsValuationAllowanceCurrent,4689,2,72,301,335,344,211,132,86,72,8
AccruedInvestmentIncomeReceivable,4662,0,224,215,208,199,181,175,166,150,36
AvailableForSaleSecuritiesGrossUnrealizedLosses1,4659,11,394,1009,138,1,0,0,0,0,0
SalesAndExciseTaxPayableCurrent,4659,8,88,234,227,221,213,192,170,170,30
GeneralPartnersCapitalAccount,4647,1,224,224,239,220,197,157,151,114,22
AccretionExpense,4632,2,143,188,208,232,196,189,186,158,42
InvestmentIncomeInterestAndDividend,4623,8,210,215,204,198,197,179,163,144,23
DepositsMoneyMarketDeposits,4620,1,106,227,222,208,200,179,168,164,65
RealEstateAcquiredThroughForeclosure,4611,0,195,218,210,191,188,177,164,148,46
OtherGeneralAndAdministrativeExpense,4608,0,210,264,241,203,175,154,140,130,19
GainLossRelatedToLitigationSettlement,4587,4,198,217,189,190,195,181,171,158,26
ProceedsFromStockPlans,4584,11,166,187,179,191,186,174,189,183,62
LimitedPartnersCapitalAccount,4575,1,221,218,237,216,189,150,148,121,24
LiabilityForUncertainTaxPositionsCurrent,4575,5,87,186,211,220,214,184,195,176,47
PrepaidExpenseCurrentAndNoncurrent,4572,1,111,182,184,210,207,205,203,189,32
UnbilledReceivablesCurrent,4563,1,89,182,187,208,205,181,190,224,54
ProceedsFromIncomeTaxRefunds,4557,4,174,215,214,183,174,185,171,163,36
MarketingExpense,4551,4,166,205,194,203,201,187,162,154,41
OperatingLeasesRentExpenseContingentRentals,4551,12,110,215,214,204,204,194,185,168,11
DeferredTaxAssetsInvestments,4539,0,8,167,196,219,220,229,222,207,45
AssetRetirementObligationCurrent,4539,2,133,189,210,193,204,189,192,171,30
StockRepurchasedAndRetiredDuringPeriodShares,4533,9,121,174,210,199,209,205,184,169,31
AccountsPayableCurrentAndNoncurrent,4521,2,132,191,233,222,202,179,169,149,28
OtherIntangibleAssetsNet,4521,2,141,199,200,202,188,184,181,170,40
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax,4518,0,0,6,246,284,282,247,220,204,17
ProceedsFromIssuanceOfSeniorLongTermDebt,4512,3,151,182,206,188,193,186,193,172,30
UnrealizedGainLossOnInvestments,4509,3,167,213,184,190,178,177,156,189,46
TierOneRiskBasedCapitalRequiredForCapitalAdequacy,4506,0,29,215,216,218,211,190,191,173,59
InterestExpenseLongTermDebt,4503,6,197,208,208,192,185,180,151,135,39
GainLossOnSaleOfBusiness,4497,0,6,88,150,187,222,273,271,262,40
DividendsPreferredStockCash,4485,1,230,230,204,181,166,170,157,134,22
IncreaseDecreaseInAccruedTaxesPayable,4479,2,182,197,187,178,180,176,187,177,27
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,4476,0,2,79,151,224,246,257,263,236,34
ContractualObligationDueInThirdYear,4473,0,7,192,204,207,215,211,219,199,37
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,4464,13,241,588,555,91,0,0,0,0,0
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesBeforeTax,4458,6,142,222,215,216,193,175,157,144,16
RealizedInvestmentGainsLosses,4452,1,190,204,194,201,178,172,163,148,33
SellingExpense,4452,4,217,224,197,198,174,164,137,142,27
TaxesExcludingIncomeAndExciseTaxes,4449,2,182,193,192,190,184,179,171,162,28
StandardProductWarrantyAccrual,4446,6,92,219,211,192,182,189,189,169,33
AccountsAndOtherReceivablesNetCurrent,4437,0,133,177,186,197,198,176,180,179,53
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets,4434,12,153,201,201,212,187,177,167,152,16
PensionAndOtherPostretirementDefinedBenefitPlansCurrentLiabilities,4431,9,149,211,205,202,192,166,169,153,21
TierOneLeverageCapitalRequiredForCapitalAdequacy,4428,1,34,214,215,215,205,183,183,168,58
EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,4422,0,0,15,84,165,226,264,318,319,83
InterestIncomeDepositsWithFinancialInstitutions,4410,0,207,186,178,180,178,171,158,156,56
DefinedBenefitPlanUltimateHealthCareCostTrendRate,4401,15,199,284,270,258,229,190,22,0,0
IncreaseDecreaseInCustomerDeposits,4377,1,204,204,201,214,182,182,168,93,10
RealEstateCostOfRealEstateSold,4371,0,68,169,185,218,204,204,191,190,28
NotesAndLoansReceivableNetCurrent,4365,6,197,201,192,183,169,168,166,138,35
TransferToOtherRealEstate,4356,0,2,98,165,222,240,238,216,205,66
InvestmentsFairValueDisclosure,4347,3,123,203,202,206,195,182,162,146,27
RealEstateImprovements,4347,0,74,176,188,206,206,206,191,178,24
LongTermLineOfCredit,4344,3,157,174,187,177,181,185,189,152,43
NumberOfReportableSegments,4335,0,14,209,196,196,214,211,187,173,45
FinancingReceivableModificationsPostModificationRecordedInvestment2,4320,0,0,9,210,240,232,248,231,193,77
DeferredTaxAssetsStateTaxes,4317,0,12,199,214,224,199,195,181,179,36
OtherLongTermDebt,4305,6,132,200,197,203,184,168,161,160,24
CapitalizedComputerSoftwareAmortization,4302,10,177,296,307,314,297,33,0,0,0
HeldToMaturitySecuritiesDebtMaturitiesAfterOneThroughFiveYearsNetCarryingAmount,4302,0,54,189,201,214,210,193,175,157,41
OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNet,4299,3,220,239,199,182,174,170,156,83,7
AccruedRoyaltiesCurrent,4299,5,108,197,186,201,186,170,181,169,30
AccruedInsuranceCurrent,4296,8,99,183,186,193,186,186,174,173,44
StockIssuedDuringPeriodValueShareBasedCompensationGross,4296,0,72,134,151,209,201,211,201,212,41
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,4293,0,0,0,6,123,166,179,178,600,179
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,4290,0,0,0,6,134,181,191,169,560,189
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,4278,9,141,240,225,197,172,156,142,123,21
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,4272,5,104,150,194,222,203,201,163,172,10
WriteOffOfDeferredDebtIssuanceCost,4254,2,140,200,200,204,183,162,158,140,29
RealEstateAndAccumulatedDepreciationAmountOfEncumbrances,4248,0,69,192,202,234,235,232,230,22,0
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,4239,1,67,203,199,198,196,187,177,147,38
ProceedsFromCollectionOfNotesReceivable,4227,7,173,181,187,198,184,181,145,134,19
UnrecognizedTaxBenefitsDecreasesResultingFromCurrentPeriodTaxPositions,4224,7,127,212,209,207,179,156,156,134,21
InvestmentBuildingAndBuildingImprovements,4218,1,114,166,171,183,189,199,189,171,23
ProceedsFromIssuanceInitialPublicOffering,4218,1,69,120,172,208,202,173,189,203,69
LossContingencyAccrualAtCarryingValue,4218,3,68,155,177,209,192,199,193,177,33
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue,4200,1,44,204,210,210,195,180,168,146,42
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses,4194,5,79,250,227,193,183,163,151,119,28
AssetsOfDisposalGroupIncludingDiscontinuedOperation,4185,2,99,173,208,224,190,180,151,136,32
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAccrued,4185,13,107,194,192,195,185,176,167,145,21
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,4182,3,173,162,188,194,194,178,154,133,15
GuaranteeObligationsMaximumExposure,4182,7,144,190,203,199,183,162,153,133,20
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,4182,4,133,190,190,176,177,184,175,150,15
SeveranceCosts1,4179,0,0,11,200,232,247,234,218,212,39
ProceedsFromIssuanceOfSecuredDebt,4179,2,145,171,170,165,176,170,179,177,38
RedeemableNoncontrollingInterestEquityCarryingAmount,4179,0,61,109,134,177,212,231,228,214,27
PaymentsForOriginationOfMortgageLoansHeldForSale,4179,0,175,173,172,164,170,162,160,156,61
IncomeTaxReconciliationRepatriationOfForeignEarnings,4173,3,76,152,154,178,160,150,270,223,25
IncreaseDecreaseInDeferredCharges,4173,8,157,166,167,181,186,176,169,158,23
InterestPaidCapitalized,4164,2,151,193,189,194,181,162,156,142,18
FairValueOfAssetsAcquired,4158,6,189,174,168,200,167,165,148,141,28
PaymentsOfCapitalDistribution,4143,1,117,149,202,214,196,168,152,141,41
EmployeeStockOwnershipPlanESOPCompensationExpense,4143,4,120,220,203,192,173,156,146,139,28
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,4134,0,4,194,191,197,184,176,173,208,51
HeldToMaturitySecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,4131,0,54,197,201,195,197,178,164,152,39
RepaymentsOfOtherDebt,4131,9,186,189,191,188,165,139,148,131,31
HeldToMaturitySecuritiesDebtMaturitiesAfterFiveThroughTenYearsNetCarryingAmount,4119,0,48,176,196,213,206,185,169,146,34
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedNumberOfShares,4104,0,0,7,148,225,233,237,223,232,63
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,4092,0,0,2,20,289,269,245,229,240,70
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,4089,0,0,10,140,228,243,252,214,216,60
ContractualObligationDueInFourthYear,4089,0,4,167,177,195,191,200,204,190,35
StandardProductWarrantyAccrualPayments,4086,6,88,205,191,184,172,170,167,151,28
BusinessAcquisitionProFormaEarningsPerShareDiluted,4083,5,143,214,198,196,185,149,139,118,14
CashCashEquivalentsAndShortTermInvestments,4080,10,104,142,152,168,166,194,171,178,75
RepaymentsOfDebtAndCapitalLeaseObligations,4077,0,113,143,172,196,200,186,178,154,17
OtherInvestments,4077,1,143,168,171,173,165,169,159,182,28
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,4068,11,118,185,194,207,188,153,149,137,14
DeferredTaxAssetsInProcessResearchAndDevelopment,4062,4,60,159,150,182,190,178,171,190,70
PensionContributions,4047,10,154,198,181,166,158,163,161,146,12
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax,4047,0,0,8,238,273,264,214,195,141,16
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeBeforeTax,4044,6,127,196,190,182,174,163,150,142,18
FairValueAssetsLevel1ToLevel2TransfersAmount,4044,0,0,71,147,176,201,229,235,201,88
NotesAndLoansReceivableNetNoncurrent,4041,10,175,193,179,177,161,152,144,125,31
DueFromRelatedParties,4035,1,121,194,183,182,164,153,169,151,27
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,4029,15,139,202,191,179,175,149,139,139,15
OtherAssetImpairmentCharges,4023,8,185,222,208,182,147,133,136,107,13
HeldToMaturitySecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,4023,0,51,187,198,199,197,173,160,143,33
FeesAndCommissionsOther,4017,0,207,219,200,206,181,167,148,11,0
